            day,           rain,      rootdepth,        rootvwc,         rootwc,     layer1_vwc,      layer1_wc,       layer1_t,       layer1_e,  layer1_influx, layer1_outflux, layer1_netflux,     layer2_vwc,      layer2_wc,       layer2_t,       layer2_e,  layer2_influx, layer2_outflux, layer2_netflux,     layer3_vwc,      layer3_wc,       layer3_t,       layer3_e,  layer3_influx, layer3_outflux, layer3_netflux
              1,          0.000,          0.018,          0.330,          5.945,          0.324,         16.219,          0.084,          4.199,         -4.282,         -0.502,         -3.781,          0.396,         99.102,          0.000,          0.000,         -0.502,          0.397,         -0.898,          0.400,        279.976,          0.000,          0.000,          0.397,          0.421,         -0.024
              2,          0.000,          0.026,          0.305,          7.924,          0.303,         15.149,          0.053,          2.897,         -2.950,         -1.880,         -1.070,          0.388,         96.937,          0.000,          0.000,         -1.880,          0.285,         -2.165,          0.400,        279.842,          0.000,          0.000,          0.285,          0.419,         -0.134
              3,         12.500,          0.034,          0.393,         13.372,          0.401,         20.056,          0.307,          5.297,          4.396,         -0.511,          4.907,          0.385,         96.241,          0.000,          0.000,         -0.511,          0.185,         -0.695,          0.399,        279.612,          0.000,          0.000,          0.185,          0.414,         -0.230
              4,          5.900,          0.042,          0.400,         16.814,          0.400,         20.015,          0.300,          3.800,          0.620,          0.662,         -0.041,          0.387,         96.715,          0.000,          0.000,          0.662,          0.188,          0.474,          0.399,        279.391,          0.000,          0.000,          0.188,          0.408,         -0.221
              5,          8.100,          0.050,          0.423,         21.136,          0.424,         21.179,          0.300,          3.500,          2.680,          1.516,          1.165,          0.392,         98.005,          0.000,          0.000,          1.516,          0.226,          1.290,          0.399,        279.214,          0.000,          0.000,          0.226,          0.403,         -0.177
              6,          0.000,          0.058,          0.359,         20.795,          0.347,         17.348,          0.362,          3.199,         -3.561,          0.270,         -3.832,          0.392,         97.985,          0.016,          0.000,          0.270,          0.290,         -0.020,          0.399,        279.105,          0.000,          0.000,          0.290,          0.399,         -0.109
              7,          0.000,          0.066,          0.333,         21.996,          0.314,         15.678,          0.199,          2.498,         -2.697,         -1.027,         -1.670,          0.387,         96.710,          0.021,          0.000,         -1.027,          0.248,         -1.275,          0.399,        278.957,          0.000,          0.000,          0.248,          0.396,         -0.149
              8,          9.500,          0.074,          0.375,         27.779,          0.377,         18.832,          0.349,          4.698,          2.553,         -0.601,          3.154,          0.384,         95.929,          0.061,          0.000,         -0.601,          0.180,         -0.781,          0.398,        278.745,          0.000,          0.000,          0.180,          0.392,         -0.212
              9,          0.000,          0.082,          0.347,         28.434,          0.320,         15.989,          0.273,          2.999,         -3.272,         -0.429,         -2.843,          0.381,         95.342,          0.068,          0.000,         -0.429,          0.158,         -0.587,          0.398,        278.517,          0.000,          0.000,          0.158,          0.387,         -0.228
             10,          0.000,          0.090,          0.318,         28.633,          0.269,         13.465,          0.298,          4.091,         -4.389,         -1.864,         -2.524,          0.373,         93.366,          0.098,          0.000,         -1.864,          0.112,         -1.976,          0.397,        278.248,          0.000,          0.000,          0.112,          0.381,         -0.269
